country_code,event,train_km,plane_km,bus_km,train_co2_kg,plane_co2_kg,bus_co2_kg,total_co2_kg
NL,QEST+FORMATS,1816,0,0,74.456,0.0,0.0,74.456
US,FMICS,630,14749,0,25.83,2241.848,0.0,2267.678
GB,CONCUR,0,0,0,0.0,0.0,0.0,0.0
GB,CONCUR,0,0,0,0.0,0.0,0.0,0.0
GB,CONCUR,0,0,0,0.0,0.0,0.0,0.0
GB,CONCUR,0,0,0,0.0,0.0,0.0,0.0
DE,QEST+FORMATS,0,2497,110,0.0,466.939,3.08,470.019
DE,QEST+FORMATS,0,2497,110,0.0,466.939,3.08,470.019
CN,QEST+FORMATS,0,20189,110,0.0,3068.728,3.08,3071.808
GB,CONCUR,0,0,0,0.0,0.0,0.0,0.0
DE,QEST+FORMATS,0,1844,110,0.0,475.752,3.08,478.832
GB,CONCUR,0,0,0,0.0,0.0,0.0,0.0
DE,QEST+FORMATS,2563,0,0,105.083,0.0,0.0,105.083
NL,CONCUR,0,1085,110,0.0,279.93,3.08,283.01
NL,QEST+FORMATS,0,1384,110,0.0,357.072,3.08,360.152
GB,CONCUR,0,0,0,0.0,0.0,0.0,0.0
GB,CONCUR,0,0,0,0.0,0.0,0.0,0.0
JP,QEST+FORMATS,0,20625,110,0.0,3135.0,3.08,3138.08
NL,FMICS,0,1384,110,0.0,357.072,3.08,360.152
CN,CONCUR,0,20130,110,0.0,3059.76,3.08,3062.84
NL,QEST+FORMATS,1816,0,0,74.456,0.0,0.0,74.456
GB,QEST+FORMATS,630,0,0,25.83,0.0,0.0,25.83
GB,FMICS,740,0,0,30.34,0.0,0.0,30.34
NL,QEST+FORMATS,1622,0,0,66.502,0.0,0.0,66.502
GB,CONCUR,292,0,0,11.972,0.0,0.0,11.972
GB,CONCUR,0,0,0,0.0,0.0,0.0,0.0
NL,QEST+FORMATS,0,1254,110,0.0,323.532,3.08,326.612
DE,CONCUR,0,2224,110,0.0,415.888,3.08,418.968
FR,CONCUR,2702,0,0,110.782,0.0,0.0,110.782
FR,FMICS,1612,0,0,66.092,0.0,0.0,66.092
JP,CONCUR,0,20625,110,0.0,3135.0,3.08,3138.08
AT,CONCUR,0,3139,110,0.0,586.993,3.08,590.073
DK,CONCUR,0,1903,110,0.0,490.974,3.08,494.054
CN,CONCUR,0,17794,110,0.0,2704.688,3.08,2707.768
SE,CONCUR,0,2213,110,0.0,413.831,3.08,416.911
FR,CONCUR,1612,0,0,66.092,0.0,0.0,66.092
FR,CONCUR,2351,0,0,96.391,0.0,0.0,96.391
FR,CONCUR,2351,0,0,96.391,0.0,0.0,96.391
FR,CONCUR,2555,0,0,104.755,0.0,0.0,104.755
DE,QEST+FORMATS,0,1751,110,0.0,451.758,3.08,454.838
DE,QEST+FORMATS,0,1529,110,0.0,394.482,3.08,397.562
GB,CONCUR,0,0,0,0.0,0.0,0.0,0.0
GB,CONCUR,0,0,0,0.0,0.0,0.0,0.0
GB,CONCUR,796,0,0,32.636,0.0,0.0,32.636
FR,CONCUR,2351,0,0,96.391,0.0,0.0,96.391
FR,CONCUR,2351,0,0,96.391,0.0,0.0,96.391
GB,CONCUR,594,0,0,24.354,0.0,0.0,24.354
DE,CONCUR,0,2497,110,0.0,466.939,3.08,470.019
IN,CONCUR,0,16141,110,0.0,2453.432,3.08,2456.512
FR,CONCUR,2555,0,0,104.755,0.0,0.0,104.755
DK,FMICS,0,1870,110,0.0,482.46,3.08,485.54
IT,CONCUR,0,3137,110,0.0,586.619,3.08,589.699
FR,CONCUR,2810,0,0,115.21,0.0,0.0,115.21
FR,CONCUR,2289,0,0,93.849,0.0,0.0,93.849
FR,CONCUR,2289,0,0,93.849,0.0,0.0,93.849
DE,CONCUR,0,2224,110,0.0,415.888,3.08,418.968
DE,FMICS,0,1456,110,0.0,375.648,3.08,378.728
AU,CONCUR,630,37387,0,25.83,5682.824,0.0,5708.654
DE,QEST+FORMATS,1970,0,0,80.77,0.0,0.0,80.77
IL,CONCUR,0,8202,110,0.0,1246.704,3.08,1249.784
SE,CONCUR,0,3078,110,0.0,575.586,3.08,578.666
PL,CONCUR,0,3434,110,0.0,642.158,3.08,645.238
FR,FMICS,0,1333,110,0.0,343.914,3.08,346.994
NL,CONCUR,0,1254,110,0.0,323.532,3.08,326.612
FR,Workshops,1638,0,0,67.158,0.0,0.0,67.158
IT,QEST+FORMATS,0,3170,110,0.0,592.79,3.08,595.87
DE,QEST+FORMATS,0,1751,110,0.0,451.758,3.08,454.838
GB,Workshops,630,0,0,25.83,0.0,0.0,25.83
GB,Workshops,506,0,0,20.746,0.0,0.0,20.746
GB,QEST+FORMATS,630,0,0,25.83,0.0,0.0,25.83
FR,CONCUR,1612,0,0,66.092,0.0,0.0,66.092
DK,QEST+FORMATS,0,1903,110,0.0,490.974,3.08,494.054
DK,QEST+FORMATS,0,1903,110,0.0,490.974,3.08,494.054
DK,QEST+FORMATS,0,1903,110,0.0,490.974,3.08,494.054
AT,CONCUR,0,3120,110,0.0,583.44,3.08,586.52
NL,CONCUR,0,1085,110,0.0,279.93,3.08,283.01
DE,QEST+FORMATS,0,1529,110,0.0,394.482,3.08,397.562
FR,CONCUR,1612,0,0,66.092,0.0,0.0,66.092
FR,CONCUR,1612,0,0,66.092,0.0,0.0,66.092
DE,CONCUR,0,2460,110,0.0,460.02,3.08,463.1
GB,Workshops,506,0,0,20.746,0.0,0.0,20.746
IL,CONCUR,0,8424,110,0.0,1280.448,3.08,1283.528
DK,CONCUR,0,1870,110,0.0,482.46,3.08,485.54
AT,CONCUR,0,3139,110,0.0,586.993,3.08,590.073
US,FMICS,630,17164,0,25.83,2608.928,0.0,2634.758
JP,CONCUR,0,20777,110,0.0,3158.104,3.08,3161.184
GB,QEST+FORMATS,796,0,0,32.636,0.0,0.0,32.636
FI,CONCUR,0,3951,110,0.0,738.837,3.08,741.917
IT,QEST+FORMATS,0,3212,110,0.0,600.644,3.08,603.724
JP,CONCUR,0,20625,110,0.0,3135.0,3.08,3138.08
BE,CONCUR,0,1179,110,0.0,304.182,3.08,307.262
JP,CONCUR,0,20777,110,0.0,3158.104,3.08,3161.184
GB,QEST+FORMATS,506,0,0,20.746,0.0,0.0,20.746
NL,CONCUR,1490,0,0,61.09,0.0,0.0,61.09
FR,Workshops,1612,0,0,66.092,0.0,0.0,66.092
NL,QEST+FORMATS,0,1254,110,0.0,323.532,3.08,326.612
IL,CONCUR,0,8296,110,0.0,1260.992,3.08,1264.072
IT,CONCUR,0,3377,110,0.0,631.499,3.08,634.579
IT,QEST+FORMATS,0,3137,110,0.0,586.619,3.08,589.699
GB,CONCUR,378,0,0,15.498,0.0,0.0,15.498
AT,CONCUR,0,2741,110,0.0,512.567,3.08,515.647
DE,CONCUR,0,1529,110,0.0,394.482,3.08,397.562
IL,CONCUR,0,8202,110,0.0,1246.704,3.08,1249.784
NL,Workshops,0,1287,110,0.0,332.046,3.08,335.126
GB,CONCUR,0,0,0,0.0,0.0,0.0,0.0
GB,CONCUR,0,0,0,0.0,0.0,0.0,0.0
IT,CONCUR,0,3087,110,0.0,577.269,3.08,580.349
FR,QEST+FORMATS,1612,0,0,66.092,0.0,0.0,66.092
JP,CONCUR,0,20777,110,0.0,3158.104,3.08,3161.184
FR,Workshops,0,1333,110,0.0,343.914,3.08,346.994
FR,CONCUR,2810,0,0,115.21,0.0,0.0,115.21
JP,CONCUR,0,20777,110,0.0,3158.104,3.08,3161.184
BE,Workshops,0,1179,110,0.0,304.182,3.08,307.262
IT,QEST+FORMATS,0,3212,110,0.0,600.644,3.08,603.724
GB,CONCUR,506,0,0,20.746,0.0,0.0,20.746
AR,CONCUR,0,24554,110,0.0,3732.208,3.08,3735.288
RO,QEST+FORMATS,0,4145,110,0.0,775.115,3.08,778.195
DK,QEST+FORMATS,0,1870,110,0.0,482.46,3.08,485.54
DE,CONCUR,0,2224,110,0.0,415.888,3.08,418.968
IT,CONCUR,0,3087,110,0.0,577.269,3.08,580.349
GB,CONCUR,740,0,0,30.34,0.0,0.0,30.34
GB,Workshops,630,0,0,25.83,0.0,0.0,25.83
FR,CONCUR,2394,0,0,98.154,0.0,0.0,98.154
US,QEST+FORMATS,630,19263,0,25.83,2927.976,0.0,2953.806
CA,CONCUR,0,12082,110,0.0,1836.464,3.08,1839.544
GB,CONCUR,348,0,0,14.268,0.0,0.0,14.268
IT,FMICS,0,3212,110,0.0,600.644,3.08,603.724
AT,CONCUR,0,3139,110,0.0,586.993,3.08,590.073
IT,FMICS,0,3137,110,0.0,586.619,3.08,589.699
FR,CONCUR,2394,0,0,98.154,0.0,0.0,98.154
GB,QEST+FORMATS,790,0,0,32.39,0.0,0.0,32.39
CY,CONCUR,0,7548,110,0.0,1411.476,3.08,1414.556
IT,FMICS,0,3212,110,0.0,600.644,3.08,603.724
IT,CONCUR,0,4114,110,0.0,769.318,3.08,772.398
GB,CONCUR,0,0,0,0.0,0.0,0.0,0.0
DE,FMICS,0,1522,110,0.0,392.676,3.08,395.756
GB,CONCUR,0,0,0,0.0,0.0,0.0,0.0
DE,CONCUR,2872,0,0,117.752,0.0,0.0,117.752
NL,Workshops,1754,0,0,71.914,0.0,0.0,71.914
AU,FMICS,630,36357,0,25.83,5526.264,0.0,5552.094
DK,Workshops,0,1903,110,0.0,490.974,3.08,494.054
DK,QEST+FORMATS,0,1903,110,0.0,490.974,3.08,494.054
FI,CONCUR,0,3951,110,0.0,738.837,3.08,741.917
GB,CONCUR,630,0,0,25.83,0.0,0.0,25.83
GB,CONCUR,0,0,0,0.0,0.0,0.0,0.0
GB,CONCUR,44,0,0,1.804,0.0,0.0,1.804
FR,FMICS,1612,0,0,66.092,0.0,0.0,66.092
US,CONCUR,630,13983,0,25.83,2125.416,0.0,2151.246
US,QEST+FORMATS,630,15677,0,25.83,2382.904,0.0,2408.734
DK,Workshops,2959,0,0,121.319,0.0,0.0,121.319
GB,Workshops,358,0,0,14.678,0.0,0.0,14.678
US,QEST+FORMATS,630,16573,0,25.83,2519.096,0.0,2544.926
IT,QEST+FORMATS,0,3122,110,0.0,583.814,3.08,586.894
GB,Workshops,630,0,0,25.83,0.0,0.0,25.83
GB,Workshops,0,0,0,0.0,0.0,0.0,0.0
