mode,distance_km
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
bus,55
plane,542
plane,542
plane,542
plane,542
plane,590
plane,590
plane,590
plane,590
plane,627
plane,627
plane,627
plane,627
plane,627
plane,627
plane,644
plane,644
plane,666
plane,666
plane,666
plane,666
plane,692
plane,692
plane,692
plane,692
plane,728
plane,728
plane,761
plane,761
plane,764
plane,764
plane,764
plane,764
plane,764
plane,764
plane,876
plane,876
plane,876
plane,876
plane,922
plane,922
plane,935
plane,935
plane,935
plane,935
plane,935
plane,935
plane,952
plane,952
plane,952
plane,952
plane,952
plane,952
plane,952
plane,952
plane,952
plane,952
plane,952
plane,952
plane,1106
plane,1106
plane,1112
plane,1112
plane,1112
plane,1112
plane,1112
plane,1112
plane,1230
plane,1230
plane,1248
plane,1248
plane,1248
plane,1248
plane,1248
plane,1248
plane,1370
plane,1370
plane,1539
plane,1539
plane,1544
plane,1544
plane,1544
plane,1544
plane,1560
plane,1560
plane,1561
plane,1561
plane,1568
plane,1568
plane,1568
plane,1568
plane,1568
plane,1568
plane,1570
plane,1570
plane,1570
plane,1570
plane,1570
plane,1570
plane,1585
plane,1585
plane,1606
plane,1606
plane,1606
plane,1606
plane,1606
plane,1606
plane,1606
plane,1606
plane,1688
plane,1688
plane,1717
plane,1717
plane,1976
plane,1976
plane,1976
plane,1976
plane,2057
plane,2057
plane,2072
plane,2072
plane,3774
plane,3774
plane,4101
plane,4101
plane,4101
plane,4101
plane,4148
plane,4148
plane,4212
plane,4212
plane,6041
plane,6041
plane,6992
plane,6992
plane,7374
plane,7374
plane,7838
plane,7838
plane,8070
plane,8070
plane,8286
plane,8286
plane,8582
plane,8582
plane,8897
plane,8897
plane,9632
plane,9632
plane,10065
plane,10065
plane,10094
plane,10094
plane,10312
plane,10312
plane,10312
plane,10312
plane,10312
plane,10312
plane,10388
plane,10388
plane,10388
plane,10388
plane,10388
plane,10388
plane,10388
plane,10388
plane,12277
plane,12277
plane,18178
plane,18178
plane,18694
plane,18694
train,22
train,22
train,146
train,146
train,174
train,174
train,179
train,179
train,189
train,189
train,253
train,253
train,253
train,253
train,253
train,253
train,253
train,253
train,297
train,297
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,315
train,370
train,370
train,370
train,370
train,395
train,395
train,398
train,398
train,398
train,398
train,745
train,745
train,806
train,806
train,806
train,806
train,806
train,806
train,806
train,806
train,806
train,806
train,806
train,806
train,806
train,806
train,806
train,806
train,811
train,811
train,819
train,819
train,877
train,877
train,908
train,908
train,908
train,908
train,985
train,985
train,1144
train,1144
train,1144
train,1144
train,1176
train,1176
train,1176
train,1176
train,1176
train,1176
train,1176
train,1176
train,1197
train,1197
train,1197
train,1197
train,1278
train,1278
train,1278
train,1278
train,1282
train,1282
train,1351
train,1351
train,1405
train,1405
train,1405
train,1405
train,1436
train,1436
train,1480
train,1480
